i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,134908,995827,13590,10816166,32764892,717110
2,766295,701154,12236,10371285,32001905,448635
3,578581,725603,12985,10007972,32753588,453294
4,1244385,709199,13521,8486830,32668604,440741
5,180274,778008,12487,8492447,32252627,452326
6,178969,722124,12940,8526840,32391335,445547
7,185229,699594,12338,8667029,34246835,452618
8,182434,1477656,12793,8526671,36456447,459754
9,179307,711308,12224,8542541,32251056,437716
10,173136,1167925,11908,10981072,30833873,454230
11,177689,1514588,12906,10778836,30660539,494173
12,194189,952860,12482,9781795,31235062,453927
13,180454,925287,13646,9588285,31402533,1559254
14,163610,1074121,13118,8329366,31560716,452551
15,175459,1384649,12387,8343656,31982987,439068
16,181198,1298531,12929,8340642,31991912,449274
17,177215,1061979,13050,8343382,32676027,442194
18,222755,1103304,13548,8378189,32272615,453149
19,181595,1120081,12762,8339895,32232798,449115
20,180276,997136,12538,10293207,30673975,582916
21,171682,1637816,12754,10442205,30341283,452893
22,181244,1335927,13084,10212053,31901378,454825
23,173013,1613938,13240,9900237,32567138,459047
24,180802,1924608,14666,8505267,33290174,465384
25,174900,902975,13458,8629460,32379381,437870
26,183969,1524199,13297,8541878,32753778,463329
27,175658,1062428,12526,8571095,32433057,458236
28,172659,1199446,12460,8588786,32163467,449071
29,176342,1443879,12508,8586166,32770071,449116
30,175248,1060138,12357,11212569,30059150,447064
