i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,700665,6906574,78524,50735412,119995404,1458429
2,33086483,5899783,76164,52358452,122598416,1429696
3,6631712,4159768,81318,54087532,119990193,1460131
4,2455882,4215067,76006,53739809,118542771,1439361
5,701698,5586957,74411,52060863,121145837,1403113
6,656605,5437365,74665,52413745,121785327,1482132
7,2474975,4201957,78610,53071202,120323340,1475829
8,660225,4242489,74342,54129460,118394005,1418528
9,1264104,5647810,80319,49837042,120399651,1408201
10,1868846,5347957,74730,52018457,121868826,1469708
11,1352499,4245855,75479,52532182,122004041,1469030
12,657914,4217903,74232,53340154,118599597,2678390
13,778757,4278844,72869,51719486,121588866,1464974
14,671857,5320987,79889,50197096,121895086,1433958
15,656550,4163934,74294,53030484,122524752,1438589
16,665309,4202213,73570,53096482,118791422,2692119
17,762342,4223159,74651,50131244,119904984,1464041
18,668061,5307793,74570,51957678,122530933,1388445
19,657994,4194194,74382,53019250,121022290,1396350
20,658405,4257744,73720,53008658,118712802,2634942
