i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,165401,992807,28501,12421938,37223382,487503
2,986432,944704,16271,11170704,36560525,461453
3,202407,936686,16648,13320718,35822859,460168
4,202473,935356,17154,10797498,36180959,476775
5,204667,941363,16731,12260457,34805300,470910
6,204629,955038,17118,11224753,36680244,472496
7,205755,943722,16382,13547203,35121324,1519249
8,205296,936120,17732,10704170,36389933,463964
9,202601,957477,29389,12251167,34620317,1489571
10,204354,953289,28062,11193000,35663012,478043
11,202425,931729,17182,13529598,44518772,1978524
12,258510,1134527,22332,13752402,49386430,462825
13,230565,1037437,18749,12444202,33861174,1426881
14,268962,944133,28038,11109256,35590408,459885
15,206098,946010,16859,13512229,34540304,1498180
16,204480,946619,17497,10620357,34763311,472001
17,203220,949172,16122,12233834,35046017,1468425
18,227442,955143,17395,11216502,35781800,450275
19,208676,943499,16057,13527772,34215467,1498421
20,198794,951483,17940,10637549,35602487,461824
21,204692,933888,16590,12315911,33838131,1454759
22,243768,942273,18031,11245410,36091354,462666
23,208547,929733,16865,13573958,34124440,1499929
