i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,623445,5416825,84461,51229992,106626629,1320354
2,30445192,5356601,75503,49666263,108637750,2656333
3,6346893,3875485,74223,49346346,110279791,1233127
4,2360377,3875572,71255,50107332,115034349,1232267
5,632926,5562520,72596,47641984,111130229,1291827
6,713285,5891853,71570,49315784,106295545,1250786
7,630234,5714807,72368,49047430,107248040,2653182
8,678167,4586955,72294,48447864,110266797,1256720
9,628039,5204517,71612,48219705,109898780,1238083
10,638629,5368527,76769,47795281,109388877,1237795
11,634555,4499378,73945,50731431,106388808,1250428
12,627274,6333681,74559,49793762,107625234,1242382
