i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,577571,6491383,65185,45508411,92100983,1203660
2,16263363,7318500,66845,46540113,93789860,1188520
3,20281669,7366984,67257,45263249,90964770,1188389
4,603392,6027459,65838,43878339,90241861,1211005
5,1130265,7736727,72544,44805518,97085580,1199937
6,1139358,7584516,70252,45100087,100177208,1203816
7,1142613,5582034,64717,44978411,99552912,1207115
8,665575,6222562,69942,46390756,119927317,1542986
9,596431,7350539,66892,50196930,100963714,1203437
10,602531,6849193,66839,45051908,100079697,1212089
11,598210,7579373,66613,45593445,101513342,1212368
12,586657,5221149,65064,45503511,100080888,1206205
13,587916,5689987,65724,45017483,99912428,1206346
14,597651,7053723,69832,46787674,99516270,2626889
15,730045,3941052,67027,45800790,89425792,1183861
