i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,348806,2453946,42734,30244274,54099912,866270
2,5639745,3572723,46201,27758669,56317702,829285
3,1124842,3591425,42661,26550461,57139335,844500
4,367840,2728245,45006,28831461,54109722,1889529
5,428650,2382722,51886,27618034,55353393,836267
6,367088,3643904,44355,26197247,56431701,837163
7,359484,3600357,44249,28048855,59524178,841436
8,370664,2699754,42510,27624291,56239562,855125
9,377397,2910011,44713,29422507,55160781,853206
10,372011,3984768,45466,26907645,57606365,832849
11,366938,3381348,43869,27294788,56823681,840708
12,365456,3497695,46173,29055223,55906482,855212
13,375165,3832140,43832,27069683,59839394,848279
14,373883,3286727,42148,29920333,58653264,859570
15,397320,5474112,46736,28126783,58856210,853078
16,370294,3030779,48723,27251340,61000870,862528
17,375764,2751051,43361,29674394,56660851,1932517
18,428778,2238027,44235,27678851,56843188,837313
