i,sstep,lambdastep,gammastep,wstep,loss
1,16182873122,6621846510,4294735922,136544482411,428668167
2,10397707620,1200472665,4609044924,172687704324,22206263
3,10208778245,536489294,3662247129,173385814620,75162641
4,10155612128,269278518,4070689065,143369879854,74620029
5,10789665484,1269694195,3852485270,252247265404,75352591
6,10111525059,554528230,3653988087,172463961192,220040188
7,10085590271,264444379,4164009449,172546001145,45946451
8,10078950669,1248282953,3812989319,171507461158,173818529
9,10244137090,539584946,3915171923,136298546075,62504321
10,10105208964,1430377093,1333950093767,173038336050,67405401
11,9976926668,1124716104,3675648535,173045579333,196481796
12,9926611062,1212102163,3771753708,175030436716,31846769
13,10520828133,1258585842,3997656065,171537685312,12097427
14,10017927678,571595983,3656356714,169920214993,67160397
15,9988168618,268072123,3797018240,170277987085,27050442
16,10042503051,1216019450,3764699814,170121686317,86631835
17,10009770163,554313937,3623780391,172039066220,209602533
18,9948648215,260663008,4019223218,131749180484,98873656
19,10691087764,1205451368,3806039378,128609364132,86162648
20,9860899573,555121810,3560998823,126287760456,85925817
21,9729456393,261764867,4717085469,172344089290,85569889
22,9897039355,1169906322,3778855917,170367367048,86758476
23,9892681372,571094080,3594881321,171933940085,86705696
24,9860210726,257986284,3924960669,169205481877,84513853
25,10022945233,1123031517,3958223038,197276777818,3740319
26,10522338152,567374046,3725829728,206214854760,75941086
27,9949537144,258696124,3749993338,168737633085,26854553
28,10023378104,1290494120,3787074641,124189609703,63112801
29,10035567174,541680430,3579568900,125125842334,86746851
30,10206729964,270430225,4079804017,121684324571,84175185
31,10164413048,1247081827,3977494172,120406382230,96089708
32,9954261546,566725028,3669085992,116996601005,86554559
33,10345434233,262787349,3731055719,118201480016,2605280
34,10326954638,1109099167,3913934591,118180982650,28933252
35,10060373891,562181570,3634184590,117210237814,85567764
36,10068657220,261735118,3707090845,114966875818,93194873
37,10376296506,1178423814,3898770303,114626644912,3261147
38,10533138012,570810632,3628085568,112723706406,85572698
39,10280455778,270644404,3709672545,111495860883,60112583
40,10034570364,1153661775,3733540321,112773206719,86485063
41,10549488365,579639643,3582290212,113418850297,87071683
42,10431316239,267081936,3862321922,111995937138,67836344
43,10217062347,1216724340,3719721472,109364056664,86970158
44,10229448446,535914325,4332136305,67702989966,50619766
45,8011375084,261522560,4221973236,63777636028,86376430
46,7587912322,1099381182,4021964108,64212903527,61226677
47,7782215362,554291668,3720527690,61237632843,87077530
48,7668288162,256865590,3809120552,64149546018,189231122
49,7597570748,1151022295,3823383614,62876895256,205737292
50,8005430352,530695546,3610491068,66915668515,19184215
51,7645989366,262365433,4127873307,62233587075,86296550
52,7789084572,1196794081,4019002201,63207194546,29319956
53,7793002285,545375403,3655413830,59895179367,86070931
54,7553791949,259170296,3651288745,63187845370,86035127
55,7498171783,1146941260,3919251640,62761937984,33798858
56,7531246736,566672729,3634742125,63188994878,86095082
57,8107850775,253453085,3737509252,63633957444,86143550
58,8140395037,1224840151,3951904191,73283240657,75157390
59,7581368548,583785280,3628284131,103277586715,66251353
60,9982174659,265136630,3757910385,107869511080,3689066
61,10425243836,1224898555,3919515524,105672177515,77669059
62,10515204231,553299750,3663356145,103510602790,86019109
63,9890818622,262761381,3740385884,104590521021,87019568
64,10072024034,1198028935,3883065041,104165249110,86905495
65,10063998903,580745060,3628032178,104642223599,30661013
66,10284470008,270433897,3756160083,102713473340,3555378
67,10784405281,1129889598,3877578102,102687864141,10237937
68,10681699294,554869226,3633768672,103290079892,85998115
69,10203273248,269142167,3729103105,101515497586,70178435
70,10011084471,1172478760,3896645939,101517907151,86137212
71,10143118063,569006821,3639389268,101729495470,86837367
72,9993032768,268140251,3778785847,100093944667,74494918
73,10553373619,1237788411,3891063559,103985693852,80921459
74,10588782608,610474541,3669474924,100894662354,86055973
75,10028604927,267373472,3826080974,98937630050,32047547
76,10682391631,1152659592,3791161104,99949429621,86405455
77,10093390099,554626803,3580152939,100976426881,86131544
78,10600303024,267680183,3922551066,97891276117,86248686
79,10086651975,1242554026,3955616754,98085464209,85716313
80,10202608542,551944601,4482803832,61574596659,85952420
81,7770854789,262865120,3862301705,64653309089,86305063
82,7541631570,1180332142,3812489513,63245436874,86185944
83,7848557496,536283507,3620519720,64357028799,86181837
84,7706477492,258952458,4091045769,64525052964,62690961
85,7670500849,1247630097,3787717896,62653024316,87184128
86,7563927193,535154364,3608920139,62721344470,85730272
87,7556011284,255083393,3873064403,64108341669,88668152
88,7830503739,1268417731,4013652436,61918119647,71504456
89,7893252567,536954219,3676873897,64943520916,86457897
90,7605276465,262362215,3785085410,60920507600,87040500
91,7712363663,1179355433,3727259442,61804781582,86887774
92,7794602425,552114150,3575672003,63652273820,104363141
93,7637500616,261383831,4128241756,60014642929,82986450
94,7490508945,1167572415,3893226212,61238285570,80137147
95,7535546861,560169843,3834615216,59555021887,191718844
96,7568505626,448220607,3747834985,63023609593,79196766
97,7921340938,1148173101,3700053407,62256515485,208411812
98,7600310374,544735940,3507205204,60556071086,70203956
99,7482455083,252763492,3686606501,60533490444,86404999
100,7439836046,1162076276,3673016538,63439789829,190780523
