i,sstep,lambdastep,gammastep,wstep,loss
1,2800315,40724735,486045753,28855051,73809
2,4832999,179920832,531110211,42321688,90655
3,6472543,121249449,511045062,32017781,70463
4,4984284,116954823,548001583,24514003,87807
5,5146145,116374979,533692626,33904478,67573
6,5433447,118910022,516514551,23423309,69738
7,5214555,114570289,531051909,47404709,96214
8,8943971,116908467,533132371,32570680,72071
9,5160992,116006025,557175989,25641616,71557
10,4853890,116842746,539417442,37694820,79195
11,6273325,123131569,540273734,25796068,69364
12,4799027,116987829,505197083,46296027,77617
13,6955939,117356224,524607051,31736893,80354
14,5298987,117120453,539151155,28394447,73209
15,5242882,120520587,538878468,40416732,76719
