i,sstep,lambdastep,gammastep,wstep,loss
1,2543746,33338797,437950060,32141749,76471
2,4005248,158379881,454038437,35446873,69149
3,4216292,105766802,432869029,38059382,69370
4,4078160,107649275,459975990,38858017,70683
5,4250188,108196725,469385138,15789879,76543
6,6607593,105984777,473899458,19317144,74458
7,4237513,105920371,468182502,20843141,72973
8,4034002,105454906,465745514,23570837,73151
9,4204084,105480006,466454837,25739400,76891
10,4043530,105821110,461922845,29592077,75506
11,4778697,104249963,460773718,32691298,70464
