i,sstep,lambdastep,gammastep,wstep,loss
1,4020741,29200336,508899443,25430451,72887
2,14378887,169639421,529573998,31650166,78477
3,15164608,181357109,522105665,37865002,81150
4,14524966,182971113,539123592,20960796,68277
5,15044343,181508726,524550805,27761188,75750
6,14966045,181778921,533053934,34098845,91048
7,14797681,184250437,517416021,39582559,84249
8,17113276,183458025,536940091,21504776,66657
9,14508073,180669311,530099103,28076949,73298
10,14657042,182449747,533747163,34516453,83190
11,14518961,184738743,523293898,40303503,79646
12,17119266,180342683,542786748,22683140,71109
