i,sstep,lambdastep,gammastep,wstep,loss
1,379309377,152015104,640162294,28996380,92781
2,381641375,382807465,684280822,28428485,94717
3,430626529,190755033,672866373,31371521,101186
4,426324499,299620082,677182269,28969647,93753
5,407590465,294657232,683068004,29274008,91568
6,416888754,297701403,671148649,31069097,94305
7,474139718,302675068,678937542,28631504,94596
8,380919028,293880124,663558112,46407608,95406
9,409514314,298079156,668760047,30848256,92043
10,427836812,296842096,677384494,28369964,91598
