i,sstep,lambdastep,gammastep,wstep,loss
1,1845352,28652259,336715397,34900270,68717
2,2174306,74651886,333064811,45582554,65628
3,2131446,42199799,362255615,24092504,61727
4,2524861,79663278,319392648,34764367,57699
5,2178922,58189845,334691991,48025767,70430
6,2227439,68152388,379652794,1916106476,93255
7,2388864,29774072973,398734381,47698922,81964
8,2683177,51905708,361889689,21832099,65798
9,2186784,53745400,331835881,33749810,55925
10,2110072,112064109,358940765,41812683,61636
11,2535242,63544452,363639153,22893074,72133
12,2135100,59928515,362374147,35354128,57186
13,2115924,57152577,333420034,43756674,67123
