i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,155744,693861,8470,1967676,465136,89297
2,150661,690254,6153,1815561,476126,80108
3,44399,726338,7117,8098171,609824,95288
4,16976,712638,17030,2150235,522705,89704
5,15912,725784,6881,1902791,508659,92615
6,14709,651595,8776,2013966,464451,82408
7,14544,648387,5555,2802315,488358,87460
8,14855,658787,5421,1777397,472597,84558
9,14306,682647,6796,1933002,471589,76972
10,14600,703016,7196,1942849,455220,77451
11,14280,649011,6072,2622153,467668,80625
