K,eps_CL,eps_E,tol,time,acc
14,0.952750047242729,0.012826498305280605,3.47168681892656e-8,3.605644515,0.7428571428571429
15,0.952750047242729,0.012826498305280605,3.47168681892656e-8,0.40574148,0.6285714285714286
16,0.952750047242729,0.012826498305280605,3.47168681892656e-8,13.051902224,0.6285714285714286
17,0.952750047242729,0.012826498305280605,3.47168681892656e-8,13.350597826,0.7714285714285715
18,0.952750047242729,0.012826498305280605,3.47168681892656e-8,9.199674422,0.8571428571428571
19,0.952750047242729,0.012826498305280605,3.47168681892656e-8,8.173921554,0.6857142857142857
20,0.952750047242729,0.012826498305280605,3.47168681892656e-8,9.073443993,0.7714285714285715
21,0.952750047242729,0.012826498305280605,3.47168681892656e-8,13.809624408,0.7428571428571429
22,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.836875144,0.8
23,0.952750047242729,0.012826498305280605,3.47168681892656e-8,11.910642835,0.6571428571428571
24,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.679480642,0.6
25,0.952750047242729,0.012826498305280605,3.47168681892656e-8,7.019681887,0.8285714285714286
26,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.563656293,0.8571428571428571
27,0.952750047242729,0.012826498305280605,3.47168681892656e-8,7.523425674,0.7714285714285715
28,0.952750047242729,0.012826498305280605,3.47168681892656e-8,7.725766422,0.6857142857142857
29,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.157416469,0.7428571428571429
30,0.952750047242729,0.012826498305280605,3.47168681892656e-8,8.465598578,0.7428571428571429
31,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.74252506,0.8285714285714286
32,0.952750047242729,0.012826498305280605,3.47168681892656e-8,7.563828423,0.7142857142857143
33,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.682641591,0.8285714285714286
34,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.704095338,0.7428571428571429
35,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.674153929,0.7428571428571429
36,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.52906146,0.8
37,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.355899664,0.7428571428571429
38,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.684508757,0.6
39,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.151466755,0.6857142857142857
40,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.904226215,0.8285714285714286
41,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.489840777,0.7428571428571429
42,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.341288633,0.7714285714285715
43,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.201202065,0.6
44,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.417376395,0.6
45,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.741848197,0.7428571428571429
46,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.581585694,0.7428571428571429
47,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.963661163,0.8
48,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.592803272,0.6571428571428571
49,0.952750047242729,0.012826498305280605,3.47168681892656e-8,5.968142904,0.6571428571428571
50,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.71775903,0.7714285714285715
51,0.952750047242729,0.012826498305280605,3.47168681892656e-8,6.093289389,0.8285714285714286
52,0.952750047242729,0.012826498305280605,3.47168681892656e-8,3.700470992,0.8
53,0.952750047242729,0.012826498305280605,3.47168681892656e-8,4.610959859,0.7142857142857143
