i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,9620,72417,3184,718777,37735,64507
2,7676,1272270,2891,615631,36774,52448
3,6675,105865,2369,509072,26339,42308
4,7075,84936,2140,572569,27312,45734
5,6302,92344,2432,557614,23916,49085
6,5757,86532,2287,541162,24099,34019
7,5956,90005,2531,526559,23912,32485
8,7322,98848,2577,520161,24878,33496
9,5808,95095,2110,631356,25946,33599
10,5808,84990,2526,746371,25244,51061
11,7962,162253,3628,1102565,26759,51675
12,5980,169166,2210,719736,24433,32470
13,5968,89252,4492,590273,23240,34434
14,7160,87447,3133,610399,22975,33336
15,7455,85901,2172,822839,24106,54573
16,5809,169852,2359,577217,26506,33435
17,5642,87568,2250,630196,23990,33163
18,5872,84721,2015,605755,24720,33602
19,6269,94192,2462,1076488,26056,29721
20,6709,77822,3821,1003149,27544,29854
21,7217,86015,12214,3430151,43436,33143
22,6752,100888,2331,551532,35651,33639
23,6827,93504,2232,553129,27762,34402
24,8387,89225,2402,697911,32767,45537
25,6638,110264,2134,616314,26523,38578
26,6184,90128,2033,560776,26912,37199
27,6349,88145,2129,570742,25975,37004
