i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,169612,436148,6808,9719878,38769,87432
2,21229,372555,8210,8415631,34242,63162
3,24444,383895,7079,9922285,36600,84749
4,21556,395576,7296,9257896,33382,94678
5,21599,392948,6490,9415596,33256,72784
6,21227,362008,7330,8073867,31459,73221
7,21612,389782,7306,8987495,31049,72585
8,21279,368918,6841,9242502,32961,72529
9,21742,366642,6608,9048849,30931,73111
10,21373,364588,7512,8087455,31275,74700
11,21396,373848,6370,9009541,31787,80903
12,21846,378163,6716,9013386,33387,69595
13,21578,375368,6313,9202073,31440,72044
14,21326,370105,6456,8081329,32817,76111
15,21538,374452,8562,8927307,31453,71729
16,21579,372415,6161,9117209,32187,70912
17,21573,368634,7171,8947439,32111,76112
18,21711,380004,7547,8115172,31096,64619
19,30633,375217,9672,9549866,36237,106575
20,22065,428200,6912,10217529,31936,69077
21,21796,368946,6375,9260256,31869,71730
22,21736,365535,6875,8040251,32275,67538
23,21401,443068,8653,8849824,31109,72439
24,21632,370894,6649,9046761,32527,70531
25,21880,373555,6768,8904777,32023,70549
26,21461,371678,6689,8051437,35466,64601
27,21243,1439385,6467,7935505,31932,71934
28,21729,380434,7219,8794319,32340,76997
29,21457,374728,6143,9115092,31191,71215
30,21752,383016,6524,8055274,30753,73327
31,22139,1330681,8014,7997130,30528,74183
32,21840,378589,6702,9014349,32369,72309
33,21453,370565,7053,8940211,31594,71443
34,21517,383924,8593,8079644,31484,64877
35,21742,1486837,6696,8010696,31018,72441
36,21963,367032,6930,8910526,31963,70750
37,21757,382373,6482,9069497,30638,77890
38,21772,376875,6252,8081847,31171,76944
39,21827,1326933,7957,7969153,30522,72522
40,21832,367258,6357,9093211,32463,75234
41,21737,381798,7113,8851796,32173,70001
42,21682,378117,13262,8070719,31455,1160192
43,21614,392106,6526,7928423,31598,66403
44,21988,374246,6355,8803438,30706,68240
45,21566,376118,7525,9008530,31771,72442
46,21585,378783,6904,8933810,31458,71716
47,21557,376091,7732,7935007,31888,68910
48,21771,379234,6120,8934531,32121,71672
49,21842,371809,6507,8824992,31199,69476
50,21836,405770,6464,9526133,33261,70331
51,21426,380705,6586,7858432,31267,73993
52,21762,377447,7140,8836986,31418,71969
53,21618,380455,6428,9005547,32003,72579
54,21796,373753,6947,9054592,30804,69789
55,21461,375607,6177,7888347,30859,66648
56,21405,370952,6268,8979899,32171,76678
57,21631,387613,7264,8886882,31044,70118
58,21381,372516,6634,9146925,31821,75517
59,22142,373902,6231,7974525,30464,70320
60,21698,383994,7225,8822005,30921,71303
61,21574,372482,6338,9000724,30643,71963
62,21981,380634,6316,9040811,31462,70011
63,22140,371558,9037,7889299,30257,72110
64,21598,380848,6231,8978903,31368,75036
65,21722,378702,6225,8908072,31448,70457
66,21468,387419,6174,9326939,31657,70765
67,21514,367381,6095,7836690,29968,66018
68,21466,379182,8247,8805106,31839,70000
69,21681,371287,6250,9037802,31227,72401
70,21527,384011,6875,8952510,31566,73838
71,22251,376891,6852,7975716,29917,66332
72,21324,373347,6649,8927027,32374,74479
73,21740,376234,6498,8856172,31165,73827
74,22099,383616,6645,9154007,32951,70508
75,21347,383238,6934,7887623,34019,64880
76,21477,371567,10268,8753220,31856,72453
77,21471,370333,6128,9065585,32881,82231
78,22407,375392,6306,9037258,31911,69789
79,21567,377473,10996,7860018,36555,66182
80,21344,368169,6306,8914540,31056,74058
81,21930,374487,7403,8826426,30784,71923
82,21502,376433,6868,9170957,33815,70782
83,21685,390734,6415,7951041,30218,68395
84,22191,373116,7256,8784348,31304,67846
85,21796,371454,7539,9049163,32054,71024
86,21750,370037,6315,8951700,32180,71714
87,21790,378339,6659,7953410,29692,71112
88,21837,375529,6407,8944036,32279,74000
89,22251,380854,6140,8861747,31612,76818
90,21658,377315,6369,9315584,33430,76828
91,21754,370044,6296,7895181,30177,70531
92,21359,379469,8670,8768325,33064,70406
93,21687,381377,6185,8999901,32628,72607
94,21819,373671,7919,9390482,32611,71068
95,21498,373901,7206,7958186,30490,66793
96,22089,386828,6326,8973882,33125,75748
97,22220,382224,6987,8930669,31589,70753
98,21377,372972,6981,9084830,34075,71126
99,21610,383256,6317,7946864,30099,67201
100,21338,373489,7242,8836593,32660,73893
