i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,184140,394639,6280,10094575,17910,71821
2,103231,320444,7520,7884518,17230,62543
3,51397,351309,7547,9790871,19557,70518
4,21146,356064,6723,9609060,18207,70965
5,20761,327037,6731,7542891,16733,58134
6,21023,345620,7879,8559715,17303,66848
7,20825,332236,7000,8577857,17384,70468
8,20697,330263,6249,8392313,17526,66290
9,21829,323117,7885,7408873,16916,61076
10,21107,345730,5948,8555134,18497,64558
11,21018,333086,6834,8333482,17394,66772
