i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,212942,369576,6464,9654117,23469,95251
2,95763,375423,8092,9482843,24287,79416
3,24053,395914,6892,8291212,24040,74378
4,21235,397638,6521,8904002,21168,77297
5,21033,379089,6817,8848149,21939,72736
6,21576,367082,6475,9014414,21972,73218
7,21637,376558,7641,7571244,21638,66561
8,25344,417553,8274,8553427,22462,73926
9,21418,369763,6333,8782459,22268,72284
10,21349,375823,6806,8654917,21823,74017
11,21474,378448,8072,7625859,21485,64389
12,21434,382190,6825,8592644,22586,72268
13,21340,372252,6584,8615036,22302,69982
14,22130,373891,6129,8868523,23578,75169
15,21551,391642,7650,7619502,21818,66358
16,22031,386286,8935,8388541,22008,71857
17,21485,379546,6801,8766597,23428,80210
18,21736,376008,6363,8649074,23048,72925
19,21686,372646,6657,7592243,21863,66709
