i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,456572,3465419,14124,19378766,33109629,446832
2,161871,3851599,11496,10343386,31203831,435978
3,82219,3376143,11100,9543154,29927986,438216
4,166889,4004805,11825,9944259,30241223,429637
5,82370,3466301,11011,9215583,29583591,430766
6,170228,3464355,10460,10306377,28285491,439437
7,173732,4059124,11197,9993454,29216612,439747
8,87425,3394822,10757,9316512,28889997,429321
9,168408,3405245,10963,10361784,28838312,447893
10,170387,3931466,12033,9773525,28561154,475995
11,81900,3412155,10624,9403064,29230798,437315
12,170741,3403259,10550,10146591,29640532,996104
13,82547,3507535,10634,9134196,29194129,430586
14,170012,3450273,10800,10345576,28085299,445787
15,180411,4097991,11112,10199309,29588456,434891
16,85139,3438884,11119,9320840,29101085,438554
17,172544,3432410,11283,10367132,28409678,450780
