i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,377267,5525723,20100,20803097,33814576,531312
2,324983,4616580,14781,16688425,32527604,504395
3,150392,4653741,15340,14555683,30004770,496319
4,163442,5083710,15714,14204034,30110805,513984
5,163559,5292391,15606,14498518,29820387,503058
6,142533,5197901,14775,14065540,29617500,503483
7,130399,4584409,14236,15062518,29456645,511537
8,148529,4659484,15203,13940444,29667772,523026
9,164603,4712150,15730,14418267,29631256,505725
10,169635,5281901,15686,14563355,30424214,507289
11,147605,5206153,29650,14182210,29667221,491777
12,133169,4593663,14365,14149736,29581033,511124
13,146845,4626207,14765,13858171,29794654,497054
14,157444,4698817,14894,14352253,29607055,505726
15,170329,5252175,15120,14197593,30276887,509258
16,151516,5280716,15260,14296885,29332149,522886
17,137229,5161530,14214,14653088,29433289,510015
18,107874,4611639,14220,13497027,29915505,505771
19,156560,4680359,14686,14041807,29439559,498457
20,168794,5111845,15238,14262847,29867360,507195
21,148959,5303935,15741,14357162,30384990,508609
22,139910,5203643,14836,14407713,29733369,498148
23,108312,4572366,28085,13298172,30023067,491590
24,153997,4649657,14634,14382879,29562353,497018
25,165808,5074964,16452,14423099,29736122,502920
26,166697,5319673,15645,14411162,30123643,503923
27,141474,5209654,15141,14208044,30144011,500844
28,130856,4547053,14216,14232695,29558682,500454
29,146397,4656545,14949,14153245,30243941,502680
30,166126,4750750,14869,14147623,29605590,517621
31,170079,5277942,15687,15468899,30332571,510696
32,143770,5270430,14623,14360246,29699582,514364
33,133548,4540385,15755,14322618,29581465,1148450
34,109150,4625061,14085,13617008,30624065,509117
35,162928,4731743,15118,14175969,29503995,499652
36,171597,5200808,14869,14342611,30058028,511660
37,149600,5243569,15188,14250577,29374155,509152
38,138807,5181835,14501,14440300,29526771,529238
