i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,2769958,139921860,52601,104234273,2940090580,116082474
2,2604430,137638661,47649,139432551,2901253938,25403758
3,491106,136041149,47253,174291632,3133202603,31151168
4,420451,141361647,50502,164476221,2946369844,23988612
5,519837,139256892,49755,169589558,3105251285,21535631
6,432454,137956715,46200,174326742,3121527693,48481025
7,330452,138657136,52042,164028035,2915195459,56040837
8,476136,139577230,49328,168917998,3084182345,138960846
9,383053,137704972,47920,159154284,3152188780,54466913
10,494169,138429606,49127,164750521,2926281060,156795273
11,394406,138455269,47175,176952502,2965109418,25351895
12,479937,138144489,49025,171643646,2934298652,30388017
13,414178,138018608,48172,170014866,3072475743,142068126
14,475030,138196850,49419,164272486,3119632220,33650035
15,433485,137412039,46667,171167765,2892024970,138161683
16,328445,138965167,46523,144939791,2952399575,88296330
17,491298,137472059,48039,160320118,2911911173,24398136
18,361046,138226853,49877,62420605,2939224609,56076045
19,491381,137237249,60495,168136292,3000855644,25848851
20,415121,137886928,46651,173376276,2907655552,86130728
21,462688,137993932,47393,165042771,3193902785,51439838
22,417267,137785616,51114,164707866,2911551673,130221635
23,469718,137905442,48843,154644150,2974373513,135008145
24,433293,137890507,47743,152213293,2890923234,73720638
25,320140,138026305,46287,160773381,3091338078,24205035
