i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,176519,5121958,16608,25324591,40657257,500765
2,330063,4055276,13889,13515613,30587175,483704
3,133793,3948613,14122,12803018,30023713,472695
4,152779,4777642,15558,12452467,29992933,476704
5,96249,4050451,13648,11828903,30598107,477745
6,138025,4428011,15522,12285374,29397061,470986
7,147132,4810262,14773,12579061,28874587,470550
8,95782,4067472,15378,11351888,29188954,494324
9,162699,4981793,16229,12486164,30108941,543373
10,132871,4089588,14602,12831361,30850396,477281
11,138154,4088469,14747,12271508,29512484,475911
12,153147,4879245,15082,12737960,29397103,489380
