i,sstep,lambdastep,gammastep,wstep,loss
1,1225721079,210568185,8896842514,45206184328,88772457
2,6057483907,10172399938,11737428504,79630651572,96679011
3,5642540321,6409665952,11185725227,79809738282,106131275
4,5978957825,2342328323,10580556738,81638572578,97793147
