i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,47113,1666839,10729,4563008,31746722,373180
2,44063,1595048,7861,4517851,29564466,827940
3,45883,1556760,7610,4197963,28374649,370932
4,45574,1561763,8433,4126113,28320268,363186
5,102604,1588398,7990,4630745,27474733,368393
6,46044,1591189,8228,4160913,27388802,361167
7,104250,1591489,8139,4656469,27084533,361451
8,45162,1609904,7753,4228697,27019718,362622
9,106739,1622273,8673,4632938,26799890,366012
10,46182,1630363,8680,4164755,26696592,369360
11,105199,1629019,9054,4654820,26836437,379858
12,45582,1636722,8807,4113250,26633165,381590
13,109944,1657842,9534,4674525,26784172,366735
14,44648,1645735,9300,4115529,26557711,364301
15,110650,1655900,9042,4675854,26714928,372084
16,45830,1648559,8894,4153090,26449341,382370
17,114928,1644253,8355,4765254,26813548,362168
18,46929,1630518,8771,4095607,26385358,368022
19,108347,1642872,9254,4684440,26778892,374421
20,44788,1634870,10088,4100193,26332851,367471
21,106344,1646885,12583,4793102,26607045,365802
22,46013,1640436,8915,4129660,26164975,363759
23,113931,1661106,9174,4812436,26607961,368847
24,47178,1657715,9375,4246985,26070682,372273
25,112138,1664207,9318,4915207,26341162,369388
26,46488,1654731,9404,4187856,26046589,366796
27,114543,1659679,8940,5002199,26318382,367402
28,45371,1652540,9055,4182725,25750312,369304
