i,sstep,lambdastep,gammastep,wstep,loss
1,156931309,182619658,3359680588,35296697,359423
2,179025346,742129576,3708119408,44277544,359817
3,223508466,645801356,3565673966,53037666,369290
4,108504181,511295180,3883612005,65874597,368072
5,180925579,457734918,3668915846,65336198,365534
6,226986347,280469033,3494320057,63792175,363764
7,234465905,295371542,3545600114,63787195,353592
8,241211916,281929249,3602640844,63802783,351249
9,255551773,285754253,3793095248,63831432,355656
10,173581526,279431633,3547978129,62256179,365965
