i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,325225,1105494,18809,12911381,11332808,575767
2,156821,1090772,16213,12153199,10120477,542879
3,156713,1071328,16564,12119587,9923749,533126
4,161398,1057051,16197,11925029,9628685,529482
5,195817,1038839,16333,14218206,7377268,527170
6,198873,1041405,16882,13194170,7370729,537203
7,194757,1051323,15810,14086670,7356358,537770
8,198424,1031639,17397,13370413,7354928,2502385
9,157304,1062725,16222,11901588,9363040,519749
10,158877,1063031,17489,11960182,9589118,533696
11,157377,1057070,16743,11838557,9434786,511623
12,158380,1052867,16798,11941659,9595304,515788
13,193602,1059777,26664,13160658,7253647,514842
14,194353,1041111,16091,14054197,8016212,544778
15,191920,1043473,26680,13402588,7356570,517522
16,194927,2532866,27004,13840764,7371635,516085
17,157943,1051078,16871,11958427,9563251,520865
18,158602,1059841,17087,11908738,9445202,524531
19,156689,1178187,39106,11968543,9609077,773523
20,192885,1042497,16788,13198396,7357220,530529
21,195294,1045688,27273,14091741,7287401,529329
22,195058,1073250,27017,13802892,7540224,519957
23,197785,1040265,16902,14075636,7350272,1899877
24,157956,1060420,16597,12004421,9531617,499921
25,156948,1054114,16485,11895155,9375664,507229
26,162272,1050917,16686,11992663,9589198,526672
27,157651,1053386,16086,11871985,9446853,520632
28,195252,1052047,17300,13893050,7346823,520865
29,192773,1046144,16633,13132179,7367708,526915
30,197878,1046831,26417,14018640,7355353,519338
31,193467,3102592,17125,13417870,7371118,512486
32,158033,1055403,27154,11872069,9338165,507448
33,162768,1049167,16949,11972884,9590855,524707
