i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,158856,454276,10699,5193022,14825713,362293
2,162639,2176257,8845,5185978,5365040,329139
3,75876,422300,6927,4838778,5381412,306796
4,97191,419160,6057,6557153,5203148,306036
5,75727,415109,6429,4774377,6603835,296301
6,75349,403358,6170,4691969,6281539,294136
7,74909,426747,7385,4670127,5176950,313791
8,109048,404779,6182,6108544,5157945,299218
9,78781,402843,6165,4659934,6437632,295899
10,75119,399265,5802,4593357,6210857,286810
11,74433,422723,5998,4561064,5166276,296962
