i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1672515,1889890,40358,36542104,13819170,713835
2,3848299,3998703,38659,23164973,10884902,758409
3,274662,1843255,36155,22979411,10671795,722342
4,314807,1899633,39519,24362996,10813608,720180
5,308217,1899401,38986,21203379,13088739,699238
6,294203,1859444,38983,21972261,12163117,696165
7,299828,3216676,46628,22248927,10676955,679367
8,257810,1906316,37399,22528336,10605230,692642
9,308433,1900854,37055,21120006,13249425,700365
10,307619,1876056,43767,21349830,12982478,684569
11,293342,3870882,37123,21478196,10586868,675532
12,282171,1887094,38918,22291604,10589768,701337
13,314621,1915047,38665,23651916,10573705,690273
14,309163,1900888,39056,21094533,13104307,701401
15,297907,1877885,39428,22137955,12706031,696969
16,293286,3253201,37634,22211474,10680101,699544
17,271624,1930625,37838,22410054,10770663,720080
18,311037,1904439,36675,21156304,13287494,718135
19,308201,1879375,38509,21132706,12995113,690262
20,298342,3918664,38045,21405817,10650719,692727
21,291476,1906812,39151,22325864,10675716,1961104
22,256147,1916087,38330,22542425,10575086,700125
