i,sstep,lambdastep,gammastep,wstep,loss
1,169899754,180766911,3285514074,58675123,372624
2,191296328,782515437,3725551910,44622427,371303
3,171233787,694763667,3762029708,22453789,406080
4,250003838,669121593,3852007415,87103936,432515
5,190387647,617913868,3549762426,71357045,394882
6,186655783,656253852,3732419433,22529249,22582069
7,188271086,622850673,3897106575,22290799,395561
8,198567553,627116038,3642812336,86149749,402535
9,376426444,720382533,3814735797,64732061,369872
10,172774535,643791414,3758667042,50506050,368895
11,393651559,615137968,3846235758,22322988,395004
