i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1005339,1587242,37332,67108895,9602882,758650
2,3078719,1553849,32873,19451162,12965643,808048
3,275169,1543272,33392,19565426,9505875,708728
4,281109,1521383,32672,18827017,9522789,2241229
5,213874,1559153,32621,16727256,12064070,717407
6,274437,1549093,32705,18886864,9508209,750449
7,271994,3220935,34943,18636648,9678525,690979
8,215156,1525399,32871,16570936,11998195,780948
9,268997,1546503,33691,18473921,9537596,732847
10,272766,3662965,33801,18795456,9441593,736679
11,214052,1588991,33620,16583140,12053705,771876
12,275936,1554546,33923,18006928,9533781,806861
13,269314,1558391,33972,18851712,11802192,798086
14,262072,1563860,32886,19033345,9526902,686332
15,271916,1563586,33431,17876253,9512444,790140
16,271738,1546042,32976,18541233,11923434,783519
17,262875,1564758,33441,18943042,9508451,712389
18,270999,1546213,32302,17922873,9534929,2765785
19,214282,1566396,33378,16561637,12027673,790952
20,270161,1572590,33374,18876538,9536968,709080
21,274048,3734141,33859,17910898,9517144,688076
