i,sstep,lambdastep,gammastep,wstep,loss
1,269879518,183276976,4406052919,42973569,542300
2,197195376,2080903484,4787197031,71297002,572986
3,234564394,1849647489,4813223340,70580082,548335
4,242764435,2005555752,4787681691,69259507,550818
5,227975375,1878059178,4813962700,66969545,546163
6,219148592,1855830659,4788128806,63974260,554467
7,236121502,1657862761,4715486294,57389429,543269
8,272425994,1668391088,4669398119,47645806,549667
9,337747703,1851515203,4680488177,78468464,558163
10,250993771,1903624083,4699261343,73397069,557936
11,197405840,1892818023,4696603756,68570810,585145
12,197647934,1656783701,4816470694,64133100,550552
13,202719514,1905672173,4852811542,54020698,533769
14,278700363,1895589344,4849811631,28971909,554193
