i,sstep,lambdastep,gammastep,wstep,loss
1,236813673,190078887,5425719207,59241118,573036
2,257916243,2922951981,5787345419,43644029,599083
3,327923321,3899836003,5774284352,52573089,603612
4,292525519,3284092911,5747791840,61205350,633674
5,332947575,2841807467,5761207082,74981543,604423
6,300247643,3533444849,6272193604,52332855,599225
7,359348624,2913367374,5845603869,47266818,610517
8,235782905,3381583477,5785981817,72186843,626299
9,317014020,3091157387,5819862276,58625543,616956
10,337590471,3557790719,5822430312,32235705,628965
