i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,1327420,2314509,68274,56760339,9837857,873835
2,6693965,2252339,45299,28711153,9001628,861325
3,418324,2256855,53932,25175722,11684424,833989
4,394531,2245075,44697,24919344,11740864,831853
5,399430,2251757,55940,26076142,11512961,827011
6,395809,2299480,46400,26008923,11553512,856916
7,400416,4606525,49187,26163213,9080533,853116
8,396011,3934958,55834,25996037,9063247,831941
9,371290,2230837,45722,26201538,9143862,2255999
10,303990,2278868,57395,26270006,9098439,838587
11,428378,2260679,48992,27482318,9075878,858234
12,426300,2265317,49616,27435179,9016946,845659
13,397723,2260643,56317,24914159,11636688,823010
14,396703,2257845,54925,24893257,11630247,846594
15,388941,2246637,56382,25091182,11494530,845488
