i,sstep,lambdastep,gammastep,wstep,loss
1,181968922,173720421,2809490254,46961255,324380
2,274789863,542562250,3137739846,110446855,338299
3,258877757,352660612,3053212405,68164455,324401
4,26570477,341144279,3239284881,18232924,343942
5,282191461,369573417,3075567406,86923713,321647
6,211848671,330629577,2891390249,17801139,333610
7,83982270,384050734,2931128698,103347432,325429
8,23189182,306070754,3010282292,64528422,332265
9,114003213,331562688,3155627133,18384966,335688
10,160206465,388856072,3181804839,88640300,322943
11,235522623,341174528,3226388061,48829052,316117
