i,sstep,lambdastep,gammastep,wstep,loss
1,254617466,183566068,3278743342,67204135,351920
2,209648585,1051287336,4782944660,859104081,356657
3,291863613,1267407946,3574207382,61391409,367422
4,154776245,570049410,3344203748,43372840,384011
5,172244172,927678300,3351786623,37241225,366649
6,325754670,686668364,3362187144,29738848,389365
7,109867980,503938010,3323094048,60870695,356805
8,186517365,932562963,3261236654,40688845,386555
9,161270985,910404603,3468403599,31313102,380840
10,197790960,639122258,3335871688,62065249,366979
11,313857537,546660043,3331428673,39585511,367800
12,235196742,519957260,3355392641,27599190,352716
