i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,985844,2050722,44321,75081824,14640750,783182
2,365271,1991400,41791,25498965,11185046,2390649
3,285187,2021980,42840,25361762,11110118,769726
4,372454,2016007,42981,23983477,13642009,771453
5,362240,2028668,55077,25238989,11228409,775988
6,371221,2020130,41743,24575367,13730046,768897
7,373344,2059707,45522,24682136,13499975,766338
8,355406,2046328,46276,24993083,11238146,780607
9,371185,2031257,44066,24003408,13724899,785145
10,362689,4324392,45094,24046835,11201110,764531
