i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,160283,3169018,16015,13457290,133157475,481508
2,1274025,3214340,15378,13064526,131084716,485054
3,196520,1939830,14734,13000176,140772054,496584
4,193858,2075305,14025,12866874,131610891,493915
5,189702,2104364,14865,11452968,136072716,505723
6,197687,2989888,15323,11353914,141393259,492895
7,189120,1947580,15959,11330239,142182704,497030
8,187124,1965579,15947,11244250,134109476,519315
9,190220,4455036,15889,11157045,141901035,494107
10,193282,3386202,17064,10257167,142760262,504287
11,197174,4307347,16288,10282426,142897281,498270
12,193639,4315845,16891,10312014,142454915,506717
13,203636,2690096,15826,10269067,143203661,496770
14,193555,1953777,14576,10331909,133180122,501559
15,197849,1970488,13748,10308702,132965526,505761
16,184323,1963681,13815,11835950,132734811,509108
17,186861,3027484,14792,11776904,132079388,509325
18,201342,3110167,14559,11738130,131108016,488570
19,188880,3069521,14494,11702144,134043742,486540
20,191305,3026383,14288,11638704,131265644,492561
21,194077,1957388,15173,12156484,133149319,515521
22,189706,2027315,14256,11969166,134213188,520011
23,196691,1978280,14244,11890346,135587280,492420
24,187502,1960242,16018,11793469,138613194,488630
25,216668,2078431,13697,11702753,142938392,506469
26,190515,1952079,14099,11698954,133391686,519012
27,188058,1962460,14164,11659816,144336124,509081
28,187710,2855589,16875,10754201,144095236,486305
29,191649,2772196,15142,10775265,132730509,499232
30,184908,2743120,15092,10783029,144620381,495013
31,187056,2680260,15127,10742281,143524286,1107253
32,216307,2095331,16049,10752840,143739447,488869
33,188273,1953187,14079,10761595,133788325,499179
34,189667,1967062,14358,10703279,133761457,489747
35,186770,1967741,13878,13293423,130142120,497718
36,189470,1957316,14084,13668484,131201585,479463
37,192782,1962533,37110,13276185,130850132,484352
