i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,76814,841266,8317,4586651,103136419,314585
2,93255,929864,13806,4685858,101028852,313569
3,92904,813349,10435,4263276,108000743,324811
4,94775,847299,10487,4207107,99731600,314297
5,92479,827142,10136,5733532,100467227,326829
6,93494,831888,9886,4391677,100600387,319787
7,94087,958765,10438,5369498,105464694,317709
8,93518,831990,9851,4245616,100542394,320308
9,93458,820505,10825,5184154,107232744,317052
10,93153,836519,10389,4438188,101449119,319060
11,94063,822171,17645,5095192,110990321,315603
12,110291,814364,10165,4265158,101036136,334667
13,97368,816130,9912,5057098,103523990,330898
14,94852,842120,9938,4440112,101022128,320673
15,105810,1568043,12841,4450799,109912357,323608
16,93703,818736,11675,4249311,102113238,969789
17,139238,871361,12815,4310009,113647506,338968
18,93616,822142,9603,4484210,102233485,329638
19,94049,838225,11097,4493517,101931351,368655
20,106737,834776,10109,4253750,104548914,334657
21,94243,816774,10371,4232500,100789495,326802
22,94907,810598,11020,4478274,110773111,333739
23,98244,811976,11892,4451046,108691756,322008
24,93967,840149,10525,5270695,99818307,337302
25,108948,832068,10220,4224106,100190412,328857
26,93836,835411,10674,5198959,104536501,339494
27,103229,1267582,11152,4525758,101591485,345874
28,99980,1218784,10488,5132573,110997692,360851
29,105840,827242,9865,4222261,100511710,341000
