i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,170544,3008652,17903,11145477,127899930,1057127
2,1241814,2146846,17885,11226915,135524621,520975
3,1730921,3904152,15961,12636766,127504817,499591
4,239649,3519391,15076,12557522,127348057,511801
5,195928,4666708,16520,12664270,128102526,507583
6,204325,2970465,16420,12548169,130448269,515733
7,206538,4637394,15443,12345644,132038715,496361
8,208151,5565697,29618,11472927,142581864,508270
9,204147,5409332,28296,11490932,134902411,658940
10,179059,4684146,16090,14541854,128685285,495776
11,196578,4663291,15479,13947289,126597633,494602
12,199823,4648224,17461,13671022,126228423,511953
13,198021,4700521,15831,13495419,127209078,508795
14,206858,4712239,16772,12189793,130025344,516538
15,203501,3193012,18045,11990977,131540832,498895
