i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,120408,2716386,12356,9664889,127099370,424226
2,601840,1532588,14572,11414713,127170314,429783
3,487647,2865186,14036,10070649,128683696,414829
4,155049,1682604,14582,9442273,127675708,430047
5,153021,2389577,16230,8571593,127174893,991180
6,175057,1563336,15058,8097218,127213039,423354
7,159891,1599518,15831,8488654,129700982,414290
8,151581,3368481,15533,8094172,128598553,414400
9,161700,3333518,15159,8471872,129921533,417548
10,164258,2960824,14799,8090346,129421614,420954
11,160169,3311267,15115,11813405,126451784,421502
12,159887,2075665,15400,10297313,126832492,427496
13,151308,1578053,15236,11689262,130736503,456399
14,160322,1598138,15479,10922779,127800351,422154
15,156386,1546942,16233,13029992,127172556,407090
16,153335,2774151,14524,10313081,128891260,419017
17,159317,3347066,14765,11189453,127586010,413165
18,163168,3215893,15199,10185371,129585686,409337
19,151825,3071537,30925,11074897,127543636,418408
20,160781,1757968,14653,10176973,128791630,406644
