i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,90770,2282411,9430,8500794,111607734,456596
2,388344,2203250,9876,5432327,111543182,350308
3,119420,2216732,11224,5763683,113212448,334327
4,117074,2215306,11553,6198277,111949141,335035
5,148945,2111714,10976,7120890,113266554,343314
6,119877,2217124,9906,5774824,111631125,349991
7,123545,2048335,10350,5398497,111587442,335671
8,116795,1398348,10316,6959776,115316161,347292
9,119374,2021779,10236,5749277,114636492,348203
10,122584,2043294,10728,5440163,111280718,339308
11,115631,3014432,10726,5734140,114742877,658091
12,248332,2236496,11438,8375532,113216795,333664
13,116486,2214168,11433,5461886,114662151,352165
14,121214,2924230,12259,5799690,114515127,347435
15,123405,2243512,10667,8265520,115267682,335416
16,115922,2223206,10783,5428280,111895346,339860
17,121501,2966243,12063,5735310,116081548,333405
18,117970,1755315,10832,8385144,113998795,336966
19,116365,1758721,11365,5441640,113109506,337636
20,121560,2235348,11911,6566993,111063510,330916
21,123720,1662425,9396,5697976,113166492,347426
22,118143,2427574,11788,5425834,112153366,334684
23,119754,1450470,11061,6878746,115904747,332802
24,113000,1273564,11121,5716391,111573933,332306
25,110243,2570931,12072,5430760,115859009,331665
26,118082,1610216,10349,5422944,114421949,336548
27,112363,2215126,11209,5779358,113276534,332812
28,123413,2228840,11191,8078888,114731363,334544
29,120617,2229608,11330,5453571,111547757,349800
30,116700,1608622,10516,6966619,115302973,334091
31,109376,1453361,11266,5810610,113557414,352170
32,121120,2972895,12503,5392789,112222735,351990
33,118921,2028547,10108,5411600,112922457,964437
