i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,2658562,1245229,17645,26022035,89583,549213
2,407246,1237800,11841,25790437,51136,540872
3,233309,1227575,11858,26304272,52154,504986
4,215128,1220005,12127,25657865,51555,515147
5,223643,1200352,12837,25065250,50829,512048
6,219420,1211509,13619,25613539,49826,537316
7,213797,2124093,12524,25471740,51245,490017
8,216281,1219619,12330,25408223,49509,527724
9,221097,1216450,13380,25142165,53695,512439
10,187259,2178771,11946,25253767,53136,486755
11,222387,1288625,13937,25272362,50555,533845
12,239292,1202457,13583,25767375,53283,568657
13,224577,1210284,12412,26605974,48989,504394
14,221929,1209997,13452,25300337,50042,510748
15,222089,1223118,12287,25086636,54665,514858
16,225589,1218258,13583,25917425,48824,1380846
17,221341,1206058,13369,24892716,50150,504799
18,231652,1219298,12056,25113522,48997,503389
19,225087,1217590,13080,25315550,51867,530064
20,199446,2153539,12831,25330006,54412,503222
21,219508,1183166,14316,24892127,51251,504501
22,219626,1406486,15120,25766710,50930,511929
23,224641,1212106,13498,26270681,52577,486079
24,222655,1260325,12149,25238480,51209,518984
25,224470,1217785,13433,25397485,49107,519175
