i,no_empty_cluster,sstep,lambdastep,gammastep,rstep,loss
1,278430,502094,6022,8379804,32905,345591
2,114541,576321,6777,9529420,31925,316921
3,105123,540398,5896,13388173,31100,324747
4,92235,512450,5761,8425737,27353,326475
5,110758,530188,6986,9460510,27373,318928
6,103691,508676,5809,10778681,28054,318749
7,91634,507897,6525,8214106,27608,328178
8,110899,516028,6119,9425663,25879,319255
9,103702,519881,6135,10769571,28613,326451
10,93033,503141,5974,8225800,26750,315801
11,111594,522947,6084,9378952,28450,315098
12,104360,503524,5985,10789726,27237,312038
13,92196,517955,6422,8208203,27991,322708
14,114286,518321,6298,9382370,26079,320371
15,103512,501526,5601,10769380,27323,315525
16,96190,510159,6010,8202894,26855,313904
17,112143,528043,6274,9367274,26734,317529
18,105326,520488,5801,10791218,26218,311714
19,92119,516898,6219,8212322,26582,317950
20,116294,527220,6456,9404723,26643,313876
21,104448,505232,6160,10774001,28397,324895
22,95835,507627,6667,8205298,26754,314759
23,110403,515262,6104,9391715,26172,317024
24,103661,518253,5699,10757604,26975,317660
25,92925,511914,6132,8198021,27436,319886
26,110651,524568,6745,9396151,27568,326201
27,104273,506561,5760,10776579,28619,322135
28,107555,504439,7378,8313481,28609,337964
29,111399,517783,6241,9395124,27797,313230
30,104382,509905,5698,10784047,27599,315343
31,92512,516011,5857,8200065,26641,313113
32,112217,531047,6279,9402187,30992,313305
33,103705,503969,6419,10774654,29601,324918
34,135416,511576,6058,9651947,54100,350179
35,122594,1425396,7601,10545020,29939,321855
36,104612,758565,5843,10871721,26191,314931
37,92423,513840,6439,8190129,25567,316467
38,112286,530569,5759,9389637,25956,327082
39,103944,506163,5824,10754004,25545,318938
40,92170,505869,5998,8177038,25838,337880
41,111093,524969,6425,9421692,27221,313180
42,103759,512748,5915,10774327,25438,312216
43,92115,510948,6207,8187651,25829,316362
44,112332,528019,5660,9395736,26095,322431
45,92214,498754,6210,8645646,26031,2415306
46,93174,524970,6039,8190320,27070,330494
47,111254,527007,6357,9413500,26836,310519
48,92699,507504,9172,8598007,25235,2346960
49,91645,531431,6039,8254676,26624,316695
50,111661,533984,6348,9428740,26713,311571
51,91584,518521,11123,8566968,25590,2236982
52,91188,528464,5863,8177083,27238,322699
53,111036,530201,6362,9441918,26435,320940
54,92722,508046,11918,8476801,25067,1938229
55,91757,527879,6294,8188231,26047,323465
56,110005,529209,6226,9422027,26045,310999
57,95913,513001,9917,8414201,26393,1720667
58,91213,526930,5842,8175250,26658,311572
59,109603,519757,6159,9615133,27358,312856
60,92373,509316,7571,8389606,25838,332131
61,99022,1802240,5904,8181741,26646,310790
62,110132,527573,6439,9461282,25652,320749
63,94859,502933,6723,8357668,25163,323842
64,92276,1799682,6076,8173572,27507,318580
65,114765,524431,5878,9430041,26341,307898
66,91577,502333,7718,8355795,24663,320866
67,92366,1782987,6355,8160405,27180,330355
68,108927,515184,6343,9450030,25567,307445
69,91546,514127,7523,8320538,26628,321721
70,95497,1772699,6070,8162524,28189,313315
71,107316,503877,5907,9412995,28115,307794
72,92362,530890,7923,8332613,26020,328568
73,92432,1773348,5832,8155114,27498,313058
74,106694,504754,6300,9431251,27562,318636
75,96082,508189,8704,8302562,25922,315096
76,92745,1906280,6535,8174313,35932,330059
77,106930,506690,5797,9470202,27128,308610
78,91473,513404,7494,8286128,25724,318658
79,92862,1744482,5963,8153028,28638,330937
80,106174,507817,6541,9440764,27350,311985
81,91295,511495,7521,8272759,26797,320443
82,95423,1720071,5884,8153136,27699,316263
83,121647,510668,6426,9448475,26785,309935
84,91680,511327,6117,8849468,26712,314487
85,112452,525279,6087,9352747,26475,334602
86,103634,502471,6541,9457586,27098,309499
87,92085,505840,7337,8251883,25685,316948
88,111819,517641,6255,9349761,27166,330835
89,103882,505648,6299,9420740,27243,308976
90,91484,509262,6375,8256077,26056,318303
91,114696,520966,7035,9331756,31270,317163
92,104331,506387,6400,9419051,26382,310225
93,91015,514838,5838,8261168,25987,331522
94,115148,515606,6169,9335480,26092,313875
95,105551,513524,6011,9397241,26274,311741
96,92628,518542,6085,8239181,25840,335283
97,111858,516502,6007,9381901,26752,314563
98,104796,534654,6518,9550186,28320,321026
99,94996,515898,6467,8236915,25569,322822
100,111488,525252,6757,9340078,26016,314938
