i,sstep,lambdastep,gammastep,wstep,loss
1,98801273,208256505,1126308918,944385239,170293
2,374705125,1104632004,518877189398,2103046974,209742
3,539062155,786497044,1205270102,1277003669,106152
4,518675788,712634531,1180652903,6168858,106813
5,350122244,385442589,1089279748,6035726,101426
6,307807840,242929671,1153014743,453603810,112009
7,283284318,391530119,1215235905,1386648125,107030
8,363106610,727154916,1169827657,5848354,100027
9,626400123,374116941,1116109308,6015886,103249
10,288376938,1278755347,1179886004,5966300,103927
11,319964533,437793843,1166566827,5996353,99519
12,391306602,811142119,1222277725,6469255,113779
13,357032335,96812478233,1244456992,6070427,120337
14,372154880,274252065,1172729695,6453664,98576
15,383748548,282308329,1185745648,6433928,106656
16,398200373,372599937,1179625701,6393645,109845
17,330269388,427806399,1178790746,6115231,108124
18,354512619,393629789,1172483683,6405585,100926
