i,sstep,lambdastep,gammastep,wstep,loss
1,431052056,182907657,869162064,283808770,97919
2,297719787,1134625719,496065097328,1134420802,152640
3,460169026,691130951,915714882,496278051,90471
4,322380497,65238848815,972246710,786321154,116159
5,69468249,561463915,857114313,5693489,21101745
6,314917061,419300444,1027596488,5764273,102560
7,281736539,277030876,870815141,5896064,94955
8,304903172,320610297,932627336,5849904,95184
9,256904824,408959264,935551586,6115182,105524
10,296772244,436192696,929443339,6079173,97556
11,303356120,431603741,913925004,6077711,98089
