i,sstep,lambdastep,gammastep,wstep,loss
1,320527757,171629899,760968219,410464160,101371
2,283404357,764708292,469623964512,1045581199,152369
3,56625667,552645592,690960360,336346672,99227
4,258553833,70596029856,746975395,974292240,118138
5,266175506,505061802,738633175,5752379,92370
6,341198712,265333202,691719187,5899412,82489
7,568519013,453941267,803062989,6030236,94732
8,280169462,313093222,773594335,6006731,88137
9,345193766,318559911,770652656,5946784,88827
10,64037670,253487559,777584506,5894046,90124
