i,sstep,lambdastep,gammastep,wstep,loss
1,417647,93846917,254762216,6521267,44254
2,526722,22253742800,274759833,6003378,41509
3,414227,51383383,254714195,6432436,61471
4,527544,50968308,301845138,5304523,40645
5,387388,42433227,505301180328,730329006,77625
6,498971,48467364,272379159,7051036,38710
7,483501,22260281093,268342267,5645681,42461
8,508577,38598505,305563141,4745508,41720
9,386564,42401986,2357788140,485767620,38863
10,408536,47656534,285163620,1113968102,41575
11,477063,226532965,325743306,796815088,41905
12,429308,21326038553,248605448,194712439,54254
13,460753,22601116815,278741082,5716156,42525
14,522769,53149041,338617609,5303734,39207
15,430663,27997397,284446461,6529769,42333
16,521488,70393756,268950170,5123635,40614
