i,sstep,lambdastep,gammastep,wstep,loss
1,3246213,23813730,434660726,438853511,63108
2,2268642,4135126618,1174981116,434781531,93662
3,2319247,176216226,465738908,420074989,82944
4,2504553,279612528,431728802,398651086,64304
5,2407335,294786704,614129668,334128986,69783
6,2481511,292420105,405709434,5627679,78746
7,1891047,139529382,503156436,5372206,75737
8,2182475,162305395,489989739,5545452,77030
9,1874755,111263654,443402583,30907486,71827
10,1991573,102591950,475916510,5260282,77044
11,1883012,100617746,472156198,5601311,109887
12,2000784,97764212,464316351,5582106,71808
