i,sstep,lambdastep,gammastep,wstep,loss
1,361946440,181398987,850050119,549391801,95702
2,298197571,62153092873,487147567236,2026170760,200915
3,68293353,566040659,859419426,814504044,106420
4,269898916,586358849,466314741534,828257322,139274
5,271730863,77720356007,852776459,761416501,114915
6,242211626,546956425,861182482,6516063,90579
7,271445173,382258311,937045035,6158701,90264
8,291750031,806743476,834904691,5999221,98101
9,478643725,404460795,875693421,6168713,87701
10,300293145,363308310,884854661,6433919,84470
11,343908568,386113870,866638304,6311467,91851
12,323415778,354329381,885772735,6472980,90785
