i,sstep,lambdastep,gammastep,wstep,loss
1,2129250,15997975,325295715,246618900,55969
2,1052383,246534595,424476618148,824740992,104682
3,1213543,107587874,348790335,504342133,56360
4,1056575,96773269,369563952,1356073011,57102
5,1189162,99402796,345197029,5393257,59126
6,1064664,114926388,346788319,5123912,63090
7,1072868,30547760,339199095,5006567,60789
8,1192983,82096372,358724198,5392760,72487
9,1065217,129574672,378081329,4979489,59463
10,1065901,60229710,367489803,5388837,60475
11,1186488,116348990,362104035,5017553,69067
12,1069175,70211087,354902025,5473470,60628
13,1078092,58656525,357665070,5446454,63119
14,1194935,77198417,355327647,5102651,63115
15,1067191,67462364,370359284,5021606,62576
16,1059858,83473882,356394585,5021421,76609
17,1368783,64965262,358995710,5440542,74381
18,1068501,79379977,360452717,5066967,51968
19,1063995,63596800,380686316,5400566,51715
20,1199596,79540045,356275616,5036778,53578
21,1063540,66827014,370600196,5044962,54228
22,1073015,79703034,369810577,5437507,54078
23,1181603,64812941,371759506,5018137,55395
24,1048803,76870391,421779530480,1802640222,98988
25,1227220,516401982,369495212,304159475,55949
26,1188128,89888395,1314098842,4979243,51348
27,1179924,32549874855,382000268,1068589483,71536
28,1171110,106823599,335092765,5023669,60143
29,1051591,128699258,366846584,5063011,53119
30,1055073,72288792,374599779,5398161,54032
31,1174658,79755269,371965901,5420532,52747
32,1114170,23461898,349218376,4999371,68406
33,1051072,109416754,353051062,5410294,61234
34,1202475,92061120,347611450,5424267,60312
35,1063798,31773370842,343081808,5421414,70427
36,1226411,34014639826,373717154,5423953,69490
37,1362598,71307614,354365684,5357734,59555
38,1069413,60312753,370096075,5373816,56057
