i,sstep,lambdastep,gammastep,wstep,loss
1,30206883,22104123,402154979,622146530,90607
2,1836190,264848829,433124077062,506308924,115636
3,1878575,168199365,436379421,804769319,60623
4,1840091,40802131691,1118414306,1338283667,91817
5,1917921,133286866,460114120,5520314,69984
6,1581413,48883605,408923616,5373892,92946
7,1736976,124461903,507980267,5049508,64869
8,1587042,68905223,458955871,5243500,70011
9,1750207,86108838,479843929,5183898,73141
10,34131806,84596641,2542299982,1722608991,64055
11,1887189,43285880087,458922320,5431289,80811
12,1853759,77472183,417121330,5431618,67910
13,1591315,288753281,434341900,4916158,71642
14,1810374,97536476,430275118,5249977,66104
15,1577016,85107983,462021979,5120687,62691
16,1757502,82986892,478515215,5100131,65152
