i,sstep,lambdastep,gammastep,wstep,loss
1,499104040,205665997,1086392090,373347578,180061
2,616080824,1037282596,611120851676,1111587400,133291
3,651019399,742100682,1163858839,1215689142,110201
4,325658074,756932793,612516805933,409639916,208968
5,340808368,100024032329,1186104844,800631681,119921
6,377310557,712115515,1199469698,6704974,90207
7,381051508,351218988,1141849002,6671556,95071
8,558532974,1040271751,1179054409,6389443,101389
9,324148736,505845219,1229879986,6661107,97576
10,286686144,478448208,1235999778,6335912,97710
