i,sstep,lambdastep,gammastep,wstep,loss
1,349749738,192936496,828781253,535653361,91503
2,483326523,721858063,550528375772,1669415991,134864
3,344072943,604395687,1215414133,1342130190,94953
4,60595604,554454634,525007295291,660505210,139277
5,307558659,74920759487,794458889,1177742320,112915
6,337167119,554186618,795091814,6458707,92953
7,308243915,381662149,872354219,6454795,94440
8,272066064,369640783,783288393,6059650,99010
9,279116761,360754961,814187331,6120060,94857
10,577805832,357190002,830372743,6093757,101844
11,297563256,364210228,833051471,6470888,91421
12,303613113,365205478,819478348,6862061,89040
