i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,249843,6809642,18924,55315648,44032650,765960
2,294560,5894425,16137,18354572,34773595,1371630
3,120674,5907783,16515,17085912,33832577,581475
4,189331,6767515,15996,18904419,35475259,590541
5,151329,5906997,15203,19077093,34078677,593001
6,170997,6504069,18358,18339851,34263846,597331
7,160699,5872586,16235,18546551,33983685,1387288
8,119704,5929393,16683,19208614,33779771,585418
9,182512,6849815,16554,18434790,34460280,597052
10,151003,5897029,17470,19557358,33777348,597403
11,175577,6554654,16483,19739611,34883420,585369
12,156054,5865647,15878,19357961,33987886,585137
13,167821,6219910,15702,19303041,33517714,580447
14,178822,6833572,16762,18622680,35086030,591942
15,151736,5880058,15769,19209888,34144650,592374
16,170905,6579250,16798,16942206,34295982,596210
17,157594,5873941,16312,17185240,34489627,601302
18,170702,6205549,16145,20087699,33613400,586437
19,171638,6842707,16720,18331110,34123298,590973
20,149926,5936241,16583,17309968,33864525,599837
21,177126,6673664,19386,18636379,34747935,608001
22,157956,5857329,15833,19205401,34193992,593282
23,165684,6231133,16781,18138268,34441284,590393
24,170499,6712422,17221,18707868,34836806,592938
25,148426,5899269,16427,19315451,33746255,596869
26,177171,6655424,18418,19451613,34132692,605258
