i,sstep,lambdastep,gammastep,wstep,loss
1,4815186,54634116,2963970625,869078902,393596
2,4505900,178439037,3127987683,872243088,397694
3,4836968,204123619,3032372915,867063204,405890
4,4758519,190612560,3167347320,848856871,418486
5,5508605,174608114,3003865061,888185360,406779
6,4917837,219464020,3143225134,862424980,386235
7,5370651,183831283,3017241642,887078516,394729
8,4649273,162492789,2957993326,848028247,408380
9,4805926,186536091,2927981906,869707515,409718
10,4785697,167415028,3015446974,882372323,409149
11,5718777,181112871,3112571020,910336660,412808
12,4874544,163649671,2893659248,920878168,402459
13,4823110,179399663,3066575329,863745643,403124
