i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,295722,4483376,16569,19886199,33216213,531785
2,338084,5026962,16250,13977771,32067144,524166
3,124172,5266558,15750,13574837,30821492,517452
4,118683,5058895,14909,13544977,31006453,512333
5,94632,4497263,15000,14511828,32325606,514898
6,126974,4536369,14869,13141957,30654007,534644
7,141123,4933661,15180,13747598,31750841,531943
8,131626,5216696,16258,13377485,31191643,520745
9,117869,5105104,14696,13438152,30913935,527824
10,154458,4554910,14302,14337373,31350589,532219
11,124407,4581586,15276,13094730,30785869,522448
12,134885,4504258,14893,13592332,32025328,521285
13,139176,5163298,15805,13298671,31333544,514638
14,122181,5150057,16892,13432365,30795130,521071
15,116145,4474463,14399,14460881,30836522,516734
16,127500,4571727,14595,13093415,30924697,517533
17,132522,4505055,15879,13571874,31783707,521337
18,146466,5103736,16259,13355555,31400990,529529
19,123288,5176066,17900,13725715,30565869,532531
20,117512,5142501,13530,14484789,30983165,516959
21,94555,4528049,14695,12546269,31224102,507975
22,132943,4480998,14826,13542891,31418959,505574
23,139005,5005069,15728,13508413,31281139,527738
24,128249,5204340,16906,13519646,30480432,531442
25,121853,5124311,15158,14417632,31086510,513977
26,108841,4507228,14011,13556644,30433080,524244
27,130080,4539151,15218,13582062,31348130,522243
28,137196,4856382,15118,13322672,30828407,520517
29,138470,5190899,16062,13421423,31212947,511794
30,122393,5157044,14385,14326725,30899566,518006
31,113918,4507359,14123,14531876,30605718,531051
32,122740,4576213,14698,13474579,31477518,523943
33,137957,4441316,15433,13288813,30790587,507010
34,144038,5170184,16264,13363079,31228828,536318
35,121671,5159168,15206,14240622,30763258,529846
36,116131,4465207,14157,13445210,30562711,1162112
37,95514,4533214,14650,12762907,31607002,507288
38,134920,4438481,14497,13263285,30705898,509253
