i,sstep,lambdastep,gammastep,wstep,loss
1,3371651,49025624,2875636263,908640353,387673
2,3676191,109668811,2682239773,852751665,400264
3,4644624,56277937,2574324481,901587204,397015
4,3840903,98783555,2646356949,936871992,403744
5,3672117,104754649,2713475695,862000173,396809
6,3718111,101331078,2698836202,890276487,407129
7,3779040,99120394,2672342710,921083549,385631
8,3958411,99912635,2644782168,932114499,398989
9,3738137,99369194,2643457389,949334697,400981
10,3770392,99760881,2722739720,875047238,399013
