i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,49694,1764005,10146,4701629,49405392,405032
2,69475,1681140,7994,5084080,27860246,382770
3,43701,1657237,8400,4258131,27297120,391139
4,73321,1711464,8549,4656023,26668604,376429
5,44570,1656434,8104,4386529,26357847,387939
6,70955,1686536,8602,4755293,26167414,383766
7,45044,1674754,8358,4234587,25814207,393299
8,72482,1674266,8780,4876019,25690882,374791
9,45331,1685467,8366,4261983,25283878,385576
10,815039,1697915,8427,4337831,25325701,399619
11,44290,1699660,8305,4314505,24937517,384359
12,45252,2005837,9604,4350136,25520802,389927
13,47566,1681240,8416,4349632,24832654,387214
14,46828,2060221,9998,4344485,25389447,384957
15,44206,1673567,8773,4346473,25074041,380442
16,46879,2074486,9449,4370085,25276220,379632
17,45079,1684485,9016,4340402,24796770,386601
18,45957,1712065,8279,4361778,25094420,382473
19,77149,1699389,8940,4899972,24815326,377694
20,44564,1713400,8445,4365053,24952491,386356
21,75169,1710734,8582,4929872,24950366,385270
22,45195,1705445,8496,4356082,24887364,396606
23,78963,1710155,9393,4958078,25610234,379978
24,45093,1714060,8637,4289841,25060690,391981
25,76777,1705529,9028,4978233,25273291,396605
26,44712,1703596,9670,4293513,24902711,380255
27,71981,1716389,9865,5014326,24982546,373660
28,45302,1714753,8511,4347429,24531212,386379
29,44120,1705667,8353,4338916,25623534,395611
30,44426,1710212,9465,4348326,24484935,389644
31,44619,2205840,9342,4354821,25389708,383376
32,44684,1679680,9849,4492000,24719176,384207
33,45110,2094767,9366,4351287,25151469,396441
34,44607,1664216,8095,4374617,24702192,379263
35,44362,2126334,9424,4360122,25072796,377647
36,45236,1702784,9152,4365173,24533496,376741
37,44685,1700688,8535,4394763,24924056,396344
38,77436,1714112,9563,4936387,24581801,384601
39,45794,1700828,8369,4324916,24717091,396403
40,77460,1718345,9220,4944850,24931470,376882
41,44335,1707037,8822,4338774,24721006,382644
42,78762,1705071,8481,4970543,25398295,383338
43,46928,1713695,8582,4301885,24970969,389438
44,74727,1717144,9197,4993431,25205751,382058
45,45580,1709033,8353,4337865,24787136,384288
46,76981,1700561,9520,5007742,24967998,388244
47,44536,1697710,8540,4332052,24478500,392596
48,45145,1714877,9379,4339827,25592306,390488
49,46399,1710342,9100,4354203,24336738,381854
50,44594,2066250,10554,4368580,25153300,383326
51,46214,1687098,9500,4361805,24536186,375484
52,46080,2098634,9637,4572709,25052691,387111
53,44814,1686604,9806,4378863,24606672,376914
54,45968,1763076,8396,4374777,24917340,836093
55,46621,1702428,9252,4374385,24554663,394790
56,44991,1704823,9320,4368693,24872990,382408
