i,sstep,lambdastep,gammastep,wstep,loss
1,1255402966,208590927,8942114437,71096229099,90779472
2,5732371293,3345353129,9975143833,71284295853,106072866
3,5987594206,3761971047,9938855782,71688414520,100761188
4,6010368025,4624119423,10021177492,71280984991,92378602
5,5779746800,2634030775,9746488897,71523019583,96377678
6,5535295725,3344588287,10042146245,71377005572,99620965
7,5888344966,2449756226,9781373136,71281652837,92764053
8,5769733559,2845527074,9954159748,71517580521,99172166
9,5392256626,2509207057,9797649041,71321445167,99091791
10,5883291566,2845353364,10037356100,71418596920,102138929
11,5530707194,2619253689,9761830622,71228834827,90928952
12,5937270716,2821275040,9964243750,71338646970,101803895
