i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,200321,5797339,20210,36731765,37187363,563274
2,95317,4727047,16069,13365421,33038234,552183
3,144528,4791834,16608,14128090,32898158,519637
4,142887,5460187,16393,14129279,31395940,519465
5,97188,4886030,15654,12815450,31630022,536261
6,163070,5306948,15867,14052672,32135999,525370
7,140051,4735190,15565,14973715,31339198,509716
8,134789,4811468,15285,13692330,32137572,526299
9,153959,5337400,16202,13857377,31632327,524914
10,97100,4698390,15801,12863555,32506239,527634
11,136227,4808202,15729,13626090,31544456,523184
12,139197,5412698,16165,14045830,30996329,539240
13,98664,4723982,16023,13243763,32581928,526283
14,141174,4779641,30202,13969953,32251999,505958
15,138501,5501777,16338,13929499,30908751,531538
16,96527,4757790,15986,12984570,31309873,533893
17,151453,4854386,15490,13774184,32054915,524954
18,148462,5644517,16110,14951651,31456832,514837
19,102184,4819291,15320,13155013,31951932,537516
20,159128,5260359,15879,13924680,32107011,526629
21,139467,4766175,15639,14018366,31227210,1214932
22,96761,4881102,15061,12779438,31373134,528654
23,164191,5392205,16231,13979086,31657524,520637
24,96721,4711894,15350,13092542,32943555,529292
25,135391,4779573,14613,13942039,32108862,511563
26,138368,5398340,16634,13916984,31099302,527376
27,97558,4738695,15026,12877859,32082322,538547
28,141377,4782112,16339,13656680,31544482,523323
29,143321,5502381,15505,14845653,31000044,532202
30,97681,4795008,15657,13268363,32017213,532383
31,148431,4840421,14896,14089008,32514717,530040
32,138718,5491183,15894,13963775,30954522,518968
33,98057,4836568,15964,12853156,31142946,539594
34,162109,5259741,15692,13914809,32055086,527623
35,140672,4792185,15136,14945320,31295219,1183077
36,98337,4882116,15586,13076654,32000422,532542
37,162520,5347708,16573,13826775,31909093,533457
38,133829,4707861,15760,14117547,31361355,523573
39,134382,4783851,14973,13455098,31650385,515904
40,143490,5424288,15636,13923896,31446801,541715
41,97710,4719479,14550,13177402,32701710,537274
42,138756,4777866,15810,13930182,32053989,511893
43,137905,5466138,16544,13879056,31131286,546298
44,98786,4746473,15951,12896039,32020226,531481
45,147314,4834347,15839,13761190,31817126,520712
46,141485,5523850,16525,15103576,30913284,537008
47,97901,4821398,15951,13245419,31908879,539914
48,155310,5379610,15844,14031792,33220692,534518
