i,sstep,lambdastep,gammastep,wstep,loss
1,1976142515,214812413,16313213601,14222985228,94196922
2,11389060313,13606801823,17273434650,14092964120,97206950
3,11205417085,4731652081,17051187128,15320875992,94800939
4,11501268538,3441880972,16867919649,15140554169,94795757
5,11363399750,3203728360,16947887750,14922592502,94882457
6,11393467462,3399224597,16802757688,15276337063,95055587
7,11114537143,3418626422,17030421232,15562788141,95793531
8,11533334147,3158165216,16901072251,15239772260,95537014
9,11425927894,3386343796,16928629972,15508408812,96034417
10,11249471076,3363519179,16961901749,15807218930,97141824
11,11216015169,3367132311,16815633630,15336903371,94197628
