i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,653318,134304645,43398,50890212,718173620,130564614
2,1767384,133564939,43077,138832756,788136149,123700300
3,305975,132727851,41127,138764216,1001272349,60817251
4,367514,134819652,41680,162083240,776698109,28423593
5,231333,134526256,42660,165188388,735622027,88494913
6,287201,133741765,43207,134670443,751085647,126082994
7,589522,133422898,42898,102164821,1268573136,130548745
8,345369,132597810,44460,152669894,749452927,106963194
9,350295,134548345,41602,127142800,787395952,129750349
10,286330,133935821,46856,146720507,749484599,130054745
11,324404,133181540,42112,145744262,816080741,120743023
12,317779,132940404,41974,149948310,746115708,105783092
13,336832,134761636,43409,128597045,762005259,129709757
14,528129,134602991,42086,94220963,986481403,121949471
15,297814,134517645,49667,151574432,798015346,129770762
16,595411,132723755,41481,115077781,1168191002,96645414
17,340812,134690138,41036,161934493,765018633,124334197
18,259902,134611351,41124,162355680,667256499,28589118
19,276719,134085848,43294,156141458,795308703,124395289
20,300542,133554351,39917,150336410,1018854181,129750320
21,357475,132964431,40181,148010543,785069943,110379038
22,221397,134795368,43644,151687604,753587552,124041238
23,282907,134280636,44645,140966372,788583381,128519083
24,295678,133219242,43738,140856945,857656159,117351316
25,327347,132439524,41943,141020513,762590857,99188508
26,333431,134602346,40549,156766866,773486320,130441421
27,286538,134655532,44246,145359243,747689207,128761628
28,536047,133221135,42128,70790177,831223349,124064661
29,315223,132698540,40770,150446452,784213734,64120339
30,333605,134640699,43825,155690823,767829883,27790450
31,264289,134693036,43116,163438216,858111251,123510931
32,291085,133777765,44997,142737323,797516815,123514575
