i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,801590,3617509,31722,40294434,15888241,569091
2,1187135,2650690,16328,15407869,15785254,544092
3,354327,2633048,26459,14519882,13795264,524737
4,214277,2708710,28479,14153378,14054026,522311
5,204492,3249738,17429,13826616,14331436,528698
6,201267,2653921,16804,14277443,13560042,541591
7,205886,2684711,27744,13938012,13785479,528310
8,206397,3375403,17094,13756166,14063662,539708
9,152168,2669086,16412,13665977,15365693,526822
10,206237,2680298,16462,14148157,13656446,534876
11,217564,2740085,28840,13818067,14001681,521628
12,206862,3305159,17385,13685604,14174803,536529
13,196704,2654534,16760,14297421,13490180,527614
14,206533,2669427,28675,13960840,13791128,531546
15,207681,3365478,27480,13720897,14252320,540504
