i,no_empty_cluster,sstep,lambdastep,gammastep,wstep,loss
1,78980,1981710,13947,5902575,26787710,359443
2,244729,1082290,9725,5629162,11169675,349217
3,131878,1066421,9746,6723726,10302233,356857
4,76959,1095828,9985,6168073,10519081,349814
5,132836,1077187,9064,6917144,10237174,348146
6,77375,1094526,9354,5512169,10489784,338492
7,131538,1105323,9700,6008170,10732059,345232
8,76353,1533815,10063,5497484,10501440,353677
9,75763,1119388,9635,5497720,10277424,338109
10,135739,1112754,9714,6401691,9991133,342139
11,76611,1139977,10289,5483117,10242575,358206
12,134016,1120340,9785,6240683,10158407,343726
13,78396,1139371,10298,5631115,10550587,345634
14,132151,1140711,9803,6030915,10135337,336942
15,76541,1566711,9433,5503786,10456550,343940
16,77156,1149184,10261,5497515,10163509,357907
17,134362,1140039,9709,6444816,10009808,344181
18,77289,1139265,9736,5533466,10240175,343821
19,135149,1142783,10039,6228458,10139893,334697
20,76810,1159406,10037,5504077,10373071,344532
21,132600,1141587,9842,6054530,10102233,341837
22,81231,1590282,10006,5531243,10483290,338310
23,75738,1147412,11067,5514762,10147104,346485
24,134254,1150378,9744,6427937,10014391,344440
25,75755,1156837,10214,5524777,10176557,353284
26,135986,1157170,9822,6186210,10189690,337129
27,76860,1156436,10611,5542307,10392384,359790
28,131277,1153679,10324,6055100,10146318,334869
29,76449,1593795,9772,5494810,10448945,347821
30,77189,1167218,10051,5480106,10128936,358017
31,139888,1183773,9450,6456641,10065137,344881
32,77583,1159179,10673,5531855,10173411,352582
33,135540,1162764,11285,6188545,10160240,348471
34,76521,1161876,9580,5514377,10377647,342524
35,133672,1162962,9418,5996114,10080863,335547
36,76468,1161577,9723,5527553,10948327,347818
37,75779,1166446,10754,5522998,10156645,342382
